hour,mode
0.0,2
1992.0,2
1998.0,1
2006.0,3
2013.8333,0
2014.1667,2
2016.0,2
2022.0,1
2030.0,3
2037.8333,0
2038.1667,2
2040.0,2
2046.0,1
2050.6667,3
2061.8333,0
2062.1667,2
2064.0,2
2070.0,1
2078.0,3
2085.8333,0
2086.1667,2
2088.0,2
2094.0,1
2102.0,3
2109.8333,0
2110.1667,0
2112.0,0
2118.0,1
2126.0,3
2133.8333,0
2134.1667,0
2136.0,0
2142.0,1
2145.75,3
2157.8333,0
2158.1667,2
2160.0,2
2166.0,1
2174.0,3
2181.8333,0
2182.1667,2
2184.0,2
2190.0,1
2198.0,3
2205.8333,0
2206.1667,2
2208.0,2
2214.0,1
2222.0,3
2229.8333,0
2230.1667,2
2232.0,2
2238.0,1
2246.0,3
2253.8333,0
2254.1667,2
2256.0,2
2262.0,1
2270.0,3
2277.8333,0
2278.1667,2
2280.0,2
2286.0,1
2294.0,3
2301.8333,0
2302.1667,2
2304.0,2
2310.0,1
2318.0,3
2325.8333,0
2326.1667,2
2328.0,2
2334.0,1
2342.0,3
2349.8333,0
2350.1667,2
2352.0,2
2358.0,1
2366.0,3
2373.8333,0
2374.1667,2
2376.0,2
2382.0,1
2390.0,3
2397.8333,0
2398.1667,2
2400.0,2
2406.0,1
2414.0,3
2421.8333,0
2422.1667,2
2424.0,2
2430.0,1
2438.0,3
2445.8333,0
2446.1667,2
2448.0,2
2454.0,1
2462.0,3
2469.8333,0
2470.1667,2
2472.0,2
2478.0,1
2486.0,3
2493.8333,0
2494.1667,2
2496.0,2
